WKT,name,description
"POLYGON ((80.211373 24.757924, 80.19204 24.76214, 80.185378 24.761664, 80.16701 24.754752, 80.154101 24.74102, 80.149467 24.723463, 80.154112 24.705908, 80.167022 24.692182, 80.185382 24.685274, 80.205192 24.68669, 80.222137 24.696122, 80.232525 24.711514, 80.234091 24.729513, 80.226489 24.746195, 80.211373 24.757924))",488001_A,C1
"POLYGON ((80.26095 24.768914, 80.230717 24.792376, 80.19204 24.800811, 80.178712 24.799858, 80.141967 24.786031, 80.116152 24.758562, 80.106893 24.723445, 80.116195 24.688338, 80.142017 24.66089, 80.1785154 24.6469997, 80.218336 24.64991, 80.252221 24.668768, 80.273003 24.699547, 80.276146 24.735544, 80.26095 24.768914), (80.205192 24.68669, 80.222137 24.696122, 80.232525 24.711514, 80.234091 24.729513, 80.226489 24.746195, 80.211373 24.757924, 80.19204 24.76214, 80.185378 24.761664, 80.16701 24.754752, 80.154101 24.74102, 80.149467 24.723463, 80.154112 24.705908, 80.167022 24.692182, 80.185382 24.685274, 80.205192 24.68669))",488001_B,C3
"POLYGON ((80.32991 24.814327, 80.296683 24.840121, 80.281908 24.829741, 80.261307 24.827716, 80.214272 24.838465, 80.209562 24.83566, 80.250072 24.826826, 80.295424 24.791624, 80.318205 24.741565, 80.315383 24.709361, 80.358584 24.728417, 80.360269 24.747573, 80.32991 24.814327))",488001_D,C7
"POLYGON ((80.092045 24.598294, 80.117306 24.588792, 80.1680786 24.5715221, 80.248451 24.5790935, 80.308576 24.611944, 80.2827994 24.6434772, 80.2309851 24.6138168, 80.200331 24.610903, 80.172078 24.608884, 80.117025 24.629594, 80.078289 24.670758, 80.06432 24.723415, 80.078193 24.776095, 80.084426 24.782729, 80.084419 24.782736, 80.084405 24.782751, 80.079689 24.78767, 80.066115 24.778786, 80.053377 24.770063, 80.029737 24.753752, 80.021747 24.723373, 80.040393 24.653168, 80.092045 24.598294))",488001_E,C7
"POLYGON ((80.36441 24.837021, 80.309732 24.879475, 80.301991 24.875536, 80.297873 24.840957, 80.296683 24.840121, 80.32991 24.814327, 80.360269 24.747573, 80.358584 24.728417, 80.359569 24.728852, 80.374942 24.739348, 80.388333 24.751196, 80.396517 24.766373, 80.36441 24.837021))",488001_F,C9
"POLYGON ((80.067077 24.56699, 80.1554328 24.533599, 80.2569761 24.5428295, 80.307039 24.567002, 80.308576 24.611944, 80.248451 24.5790935, 80.1680786 24.5715221, 80.117306 24.588792, 80.092045 24.598294, 80.040393 24.653168, 80.021747 24.723373, 80.029737 24.753752, 80.003876 24.735908, 79.9834861 24.7071546, 80.002508 24.635569, 80.067077 24.56699))",488001_G,C9
"POLYGON ((80.439925 24.769426, 80.415689 24.822787, 80.405502 24.82756, 80.337181 24.893444, 80.309732 24.879475, 80.36441 24.837021, 80.396517 24.766373, 80.399093 24.771149, 80.41991 24.770271, 80.428267 24.769918, 80.4347 24.769646, 80.439925 24.769426))",488001_H,C11
"POLYGON ((80.042122 24.535682, 80.143881 24.497407, 80.150336 24.500583, 80.142687 24.520825, 80.138787 24.536699, 80.138212 24.538495, 80.138211 24.538498, 80.13758 24.54047, 80.067077 24.56699, 80.002508 24.635569, 79.9834861 24.7071546, 79.952723 24.686722, 79.946313 24.686774, 79.964634 24.617961, 80.007426 24.572523, 80.01507 24.564407, 80.042122 24.535682))",488001_I,C11
"POLYGON ((80.485589 24.767499, 80.442788 24.861804, 80.433648 24.854665, 80.446701 24.820705, 80.426788 24.817588, 80.415689 24.822787, 80.439925 24.769426, 80.485589 24.767499))",488001_J,C12
"POLYGON ((80.017179 24.50437, 80.097017 24.474342, 80.118792 24.485059, 80.139884 24.49544, 80.143881 24.497407, 80.042122 24.535682, 80.01507 24.564407, 80.007426 24.572523, 80.013529 24.508246, 80.017179 24.50437))",488001_K,C12
"POLYGON ((79.926771 24.600343, 79.949516 24.576197, 80.013529 24.508246, 80.007426 24.572523, 79.964634 24.617961, 79.946313 24.686774, 79.903638 24.687121, 79.926771 24.600343))",488001_L,C12
"POLYGON ((80.528563 24.771489, 80.475878 24.887651, 80.442788 24.861804, 80.485589 24.767499, 80.487382 24.767423, 80.49285 24.767193, 80.528046 24.765707, 80.528563 24.771489))",488001_M,C13
"POLYGON ((79.888918 24.582715, 79.923092 24.546448, 79.934635 24.566484, 79.949516 24.576197, 79.926771 24.600343, 79.903638 24.687121, 79.870474 24.68739, 79.8646139 24.6750757, 79.888918 24.582715))",488001_N,C13
"POLYGON ((80.017179 24.50437, 80.013529 24.508246, 79.949516 24.576197, 79.934701 24.566527, 79.923092 24.546448, 79.9966053 24.4746501, 80.0429537 24.440586, 80.074789 24.463401, 80.097017 24.474342, 80.017179 24.50437))",488001_O,C13
"POLYGON ((80.53138 24.864073, 80.515298 24.899556, 80.489234 24.898083, 80.475878 24.887651, 80.528563 24.771489, 80.528046 24.765707, 80.543148 24.76507, 80.547434 24.728278, 80.56323 24.723133, 80.566011 24.725716, 80.570646 24.777439, 80.555151 24.811626, 80.53138 24.864073))",488001_P,C14
"POLYGON ((79.892644 24.520975, 79.9099072 24.5033328, 79.915455 24.533193, 79.9966053 24.4746501, 79.923092 24.546448, 79.888918 24.582715, 79.8646139 24.6750757, 79.83704 24.656947, 79.827117 24.654741, 79.834535 24.626979, 79.8491567 24.5633021, 79.892644 24.520975))",488001_Q,C14
"POLYGON ((79.834535 24.626979, 79.827117 24.654741, 79.814209 24.651872, 79.7450509 24.6311592, 79.838302 24.5533859, 79.8491567 24.5633021, 79.834535 24.626979))",488001_R,C15
"POLYGON ((79.892644 24.520975, 79.8491567 24.5633021, 79.838302 24.5533859, 79.8504406 24.4710224, 79.908714 24.472463, 79.907022 24.490543, 79.9099072 24.5033328, 79.892644 24.520975))",488001_S,C15
"POLYGON ((80.515298 24.899556, 80.53138 24.864073, 80.570646 24.777439, 80.566011 24.725716, 80.586904 24.745122, 80.590379 24.756652, 80.606782 24.8458427, 80.5620567 24.9038756, 80.542144 24.901073, 80.526753 24.900203, 80.515298 24.899556))",488001_U,C15
"POLYGON ((80.116911 24.817306, 80.084426 24.782729, 80.084525 24.782626, 80.078193 24.776095, 80.06432 24.723415, 80.078289 24.670758, 80.117025 24.629594, 80.172078 24.608884, 80.200331 24.610903, 80.2309851 24.6138168, 80.2827994 24.6434772, 80.3100732 24.6814114, 80.315383 24.709361, 80.318205 24.741565, 80.295424 24.791624, 80.250072 24.826826, 80.209562 24.83566, 80.19204 24.839481, 80.172042 24.838052, 80.116911 24.817306), (80.276146 24.735544, 80.26095 24.768914, 80.230717 24.792376, 80.19204 24.800811, 80.178712 24.799858, 80.141967 24.786031, 80.116152 24.758562, 80.106893 24.723445, 80.116195 24.688338, 80.142017 24.66089, 80.1785154 24.6469997, 80.218336 24.64991, 80.252221 24.668768, 80.273003 24.699547, 80.276146 24.735544))",488220_A,C5
"POLYGON ((80.296683 24.840121, 80.269437 24.861273, 80.19204 24.878152, 80.165367 24.876246, 80.091843 24.848577, 80.089443 24.846022, 80.094795 24.841425, 80.095139 24.827248, 80.090675 24.813849, 80.084496 24.799825, 80.079689 24.78767, 80.084405 24.782751, 80.084419 24.782736, 80.084426 24.782729, 80.116911 24.817306, 80.172042 24.838052, 80.19204 24.839481, 80.209562 24.83566, 80.214272 24.838465, 80.261307 24.827716, 80.281908 24.829741, 80.296683 24.840121))",488220_B,C7
