WKT,name,description
"POLYGON ((88.2510307 26.3759494, 88.2492575 26.3515304, 88.2363829 26.3409161, 88.242391 26.335224, 88.2173285 26.3066052, 88.1713232 26.2835204, 88.1267874 26.2749976, 88.104032 26.2856752, 88.0798493 26.3104988, 88.031687 26.2743818, 88.0501303 26.2539652, 88.1105493 26.2190298, 88.1397252 26.2301884, 88.1374062 26.2385201, 88.1468903 26.2510003, 88.1749171 26.2585514, 88.1929526 26.2727459, 88.2119314 26.2786917, 88.2259115 26.2902924, 88.2387106 26.3088562, 88.2470325 26.3268224, 88.2670307 26.336171, 88.2788743 26.3305544, 88.292269 26.3519346, 88.2754461 26.3663931, 88.2762092 26.3775487, 88.2652988 26.3788614, 88.2510307 26.3759494))",855117_F,C9
"POLYGON ((88.1811339 26.4139618, 88.1720154 26.408457, 88.1521388 26.405121, 88.1566779 26.3931906, 88.1536637 26.3704957, 88.1435401 26.3698298, 88.1596762 26.3606015, 88.1782157 26.3609092, 88.1916053 26.3738285, 88.1933219 26.3879767, 88.1811339 26.4139618))",855117_A,C1
"POLYGON ((88.1811339 26.4139618, 88.1933219 26.3879767, 88.1916053 26.3738285, 88.1782157 26.3609092, 88.1596762 26.3606015, 88.1435401 26.3698298, 88.1376075 26.3690357, 88.1202643 26.3636246, 88.1400809 26.3463397, 88.1627402 26.3389556, 88.1826529 26.3417247, 88.2006701 26.3561586, 88.210462 26.3678739, 88.2132086 26.3838682, 88.2108053 26.404473, 88.199819 26.4247666, 88.1811339 26.4139618))",855117_B,C3
"POLYGON ((88.1098685 26.341417, 88.1056749 26.3333462, 88.0964789 26.3263006, 88.0798493 26.3104988, 88.104032 26.2856752, 88.1267874 26.2749976, 88.1713232 26.2835204, 88.2173285 26.3066052, 88.242391 26.335224, 88.2363829 26.3409161, 88.2492575 26.3515304, 88.2510307 26.3759494, 88.2334793 26.3799661, 88.2324347 26.3684892, 88.2286581 26.356492, 88.2101187 26.34234, 88.1757864 26.3226473, 88.1514105 26.3177236, 88.1273779 26.3232628, 88.1098685 26.341417))",855117_E,C7
"POLYGON ((88.2190451 26.4349121, 88.199819 26.4247666, 88.2108053 26.404473, 88.2132086 26.3838682, 88.210462 26.3678739, 88.2006701 26.3561586, 88.1826529 26.3417247, 88.1627402 26.3389556, 88.1400809 26.3463397, 88.1202643 26.3636246, 88.1098685 26.341417, 88.1273779 26.3232628, 88.1514105 26.3177236, 88.1757864 26.3226473, 88.2101187 26.34234, 88.2286581 26.356492, 88.2324347 26.3684892, 88.2334793 26.3799661, 88.229273 26.3916899, 88.242391 26.4013979, 88.2307181 26.4164651, 88.2190451 26.4349121))",855117_C,C5
"POLYGON ((88.2190451 26.4349121, 88.2307181 26.4164651, 88.242391 26.4013979, 88.2527869 26.4146775, 88.2713263 26.4205194, 88.2603399 26.4401954, 88.2467463 26.451419, 88.2190451 26.4349121))",855117_D,C7
"POLYGON ((70.226113 23.215594, 70.2039 23.220496, 70.197953 23.220066, 70.193024 23.206956, 70.193212 23.182267, 70.205577 23.163562, 70.22703 23.166285, 70.228346 23.166085, 70.231686 23.165672, 70.235025 23.165263, 70.236466 23.165154, 70.238536 23.164881, 70.239675 23.166985, 70.238113 23.167514, 70.236185 23.168152, 70.236044 23.169163, 70.236187 23.170301, 70.237623 23.171442, 70.244952 23.175803, 70.246198 23.176353, 70.246202 23.175893, 70.244997 23.175742, 70.245107 23.173411, 70.245055 23.17336, 70.24511 23.173107, 70.245242 23.173047, 70.246512 23.17326, 70.247124 23.173447, 70.247041 23.17296, 70.247111 23.172474, 70.249762 23.172779, 70.249505 23.174439, 70.247842 23.174122, 70.247491 23.174119, 70.247204 23.176611, 70.246464 23.176471, 70.249681 23.177894, 70.25 23.17795, 70.251132 23.178152, 70.251855 23.178389, 70.252214 23.182557, 70.243479 23.201955, 70.226113 23.215594))",370140_A,C1
"POLYGON ((70.283075 23.228371, 70.248339 23.255654, 70.21093 23.263911, 70.201921 23.23062, 70.197953 23.220066, 70.2039 23.220496, 70.226113 23.215594, 70.243479 23.201955, 70.252214 23.182557, 70.251855 23.178389, 70.252972 23.178754, 70.254614 23.177573, 70.258291 23.177973, 70.263321 23.178053, 70.267574 23.178462, 70.267921 23.178873, 70.268612 23.18198, 70.268763 23.182472, 70.272692 23.185202, 70.27358 23.18625, 70.274341 23.187451, 70.27477 23.187853, 70.275 23.188273, 70.275683 23.188802, 70.277352 23.190663, 70.278143 23.191399, 70.279411 23.192872, 70.280383 23.194001, 70.281002 23.194701, 70.28172 23.19565, 70.282461 23.19659, 70.282871 23.197199, 70.283462 23.197981, 70.283701 23.198252, 70.284429 23.198351, 70.286138 23.198723, 70.28708 23.198899, 70.29153 23.1991, 70.292699 23.206979, 70.283075 23.228371))",370140_C,C3
"POLYGON ((70.322685 23.254777, 70.270578 23.295711, 70.215436 23.307882, 70.221863 23.296225, 70.21225 23.268789, 70.21093 23.263911, 70.248339 23.255654, 70.283075 23.228371, 70.292699 23.206979, 70.29331 23.211097, 70.294037 23.21228, 70.29665 23.21374, 70.29567 23.218959, 70.30193 23.223689, 70.303449 23.223906, 70.308247 23.222508, 70.311775 23.219417, 70.316855 23.219857, 70.318985 23.219749, 70.323856 23.218117, 70.322814 23.221719, 70.327673 23.226267, 70.332784 23.222729, 70.337137 23.222631, 70.322685 23.254777))",370140_F,C5
"POLYGON ((70.362312 23.281172, 70.292831 23.335765, 70.2039 23.355394, 70.191452 23.354494, 70.192278 23.35246, 70.196504 23.342046, 70.199459 23.334763, 70.20813 23.321134, 70.215436 23.307882, 70.270578 23.295711, 70.322685 23.254777, 70.337137 23.222631, 70.337762 23.222617, 70.341622 23.21986, 70.345632 23.22098, 70.349042 23.219969, 70.353351 23.220588, 70.358583 23.220359, 70.36636 23.219858, 70.36399 23.22245, 70.365509 23.224978, 70.369398 23.224919, 70.369891 23.227506, 70.373809 23.230066, 70.37655 23.229786, 70.378011 23.231637, 70.381719 23.232486, 70.383955 23.232997, 70.362312 23.281172))",370140_G,C7
